loop	threshold	anger	empty_cells
951	-180	726	21
952	-180	727	21
953	-180	728	21
954	-180	729	21
955	-180	730	21
956	-180	731	21
957	-180	732	21
958	-180	733	22
959	-180	729	21
960	-180	730	21
961	-180	731	21
962	-180	732	21
963	-180	733	21
964	-180	734	21
965	-180	735	21
966	-180	736	22
967	-180	737	22
968	-180	738	22
969	-180	739	22
970	-180	735	21
971	-180	736	21
972	-180	737	21
973	-180	738	21
974	-180	739	21
975	-180	740	21
976	-180	741	21
977	-180	742	21
978	-180	743	21
979	-180	744	21
980	-180	745	21
981	-180	746	21
982	-180	747	21
983	-180	748	21
984	-180	749	21
985	-180	750	21
986	-180	751	22
987	-180	752	22
988	-180	753	24
989	-180	754	25
990	-180	755	25
991	-180	756	25
992	-180	752	24
993	-180	748	23
994	-180	744	22
995	-180	745	22
996	-180	746	22
997	-180	747	22
998	-180	748	22
999	-180	749	22
1000	-230	750	22
1001	-230	751	23
1002	-230	752	23
1003	-230	753	23
1004	-230	754	23
1005	-230	755	23
1006	-230	756	23
1007	-230	757	23
1008	-230	758	23
1009	-230	759	23
1010	-230	760	23
1011	-230	761	23
1012	-230	762	23
1013	-230	763	23
1014	-230	764	23
1015	-230	765	23
1016	-230	761	22
1017	-230	762	22
1018	-230	763	22
1019	-230	764	22
1020	-230	765	22
1021	-230	766	22
1022	-230	767	22
1023	-230	768	22
1024	-230	769	22
1025	-230	770	22
1026	-230	771	22
1027	-230	772	22
1028	-230	773	22
1029	-230	774	22
1030	-230	775	22
1031	-230	776	22
1032	-230	777	23
1033	-230	778	23
1034	-230	779	23
1035	-230	780	23
1036	-230	781	25
1037	-230	782	25
1038	-230	778	24
1039	-230	779	24
1040	-230	780	25
1041	-230	781	25
1042	-230	782	26
1043	-230	783	26
1044	-230	779	25
1045	-230	780	25
1046	-230	781	25
1047	-230	782	25
1048	-230	783	25
1049	-230	784	25
1050	-230	785	25
1051	-230	786	25
1052	-230	787	25
1053	-230	788	25
1054	-230	789	25
1055	-230	790	27
1056	-230	786	25
1057	-230	787	25
1058	-230	788	25
1059	-230	789	25
1060	-230	790	25
1061	-230	791	26
1062	-230	792	26
1063	-230	788	25
1064	-230	789	25
1065	-230	785	24
1066	-230	786	25
1067	-230	787	25
1068	-230	783	24
1069	-230	784	24
1070	-230	785	24
1071	-230	786	24
1072	-230	787	24
1073	-230	788	24
1074	-230	789	26
1075	-230	790	26
1076	-230	791	26
1077	-230	792	26
1078	-230	793	27
1079	-230	789	25
1080	-230	785	24
1081	-230	786	26
1082	-230	787	27
1083	-230	783	26
1084	-230	784	26
1085	-230	785	26
1086	-230	786	26
1087	-230	787	26
1088	-230	783	25
1089	-230	779	24
1090	-230	780	26
1091	-230	776	25
1092	-230	777	25
1093	-230	778	25
1094	-230	779	25
1095	-230	780	25
1096	-230	776	24
1097	-230	777	24
1098	-230	773	23
1099	-230	774	23
1100	-230	775	23
1101	-230	776	23
1102	-230	777	23
1103	-230	778	23
1104	-230	779	23
1105	-230	780	23
1106	-230	781	23
1107	-230	782	23
1108	-230	783	23
1109	-230	784	23
1110	-230	785	23
1111	-230	786	24
1112	-230	787	26
1113	-230	783	24
1114	-230	784	24
1115	-230	785	24
1116	-230	781	22
1117	-230	782	22
1118	-230	783	22
1119	-230	784	22
1120	-230	785	22
1121	-230	786	22
1122	-230	787	22
1123	-230	788	22
1124	-230	789	22
1125	-230	790	22
1126	-230	791	22
1127	-230	792	22
1128	-230	793	22
